week,date,icon,emoji,name,description,hashtags
22,2021/06/02,dash,💨,Leave The Office Early Day,"Loved among hard workers for obvious reasons, Leave the Office Early Day is an incentive to many people who work more than 40 hours per week.",#LeaveTheOfficeEarlyDay
22,2021/06/04,donut,🍩,National Doughnut Day,"National Doughnut Day has a link going back to 1938, when it was created by the Salvation Army to honor those who served doughnuts to soldiers during World War I. You may even find free doughnuts – selected stores only! – across the US and other participating countries.",#NationalDonutDay
22,2021/06/05,globe,🌏,World Environment Day,"Another day created by the United Nations, every June 5th celebrates World Environment Day. This day is about raising awareness and action for the global protection of the environment.",#WorldEnvironmentDay
22,2021/06/06,graduate,👩‍🎓,Higher Education Day,"To spread awareness, this day aims to promote and educate people about the higher education path and the futures they can expect from successful study.",#HigherEducationDay
22,2021/06/06,strong,💪,National Cancer Survivor’s Day,"In celebration and support, National Cancer Survivors Day is a yearly event held by many communities.",#NCSD
23,2021/06/08,friends,💑,Best Friends Day,"True friends never need a particular reason to show their appreciation for each other, but Best Friends Day is a great opportunity to acknowledge genuine lifelong friendships. It was created in 1935 by the US congress to pay tribute to close friends and has been celebrated ever since.",#BestFriendsDay
23,2021/06/08,whale,🐋,World Oceans Day,"This day is a chance to celebrate the beauty of our oceans and the ‘lungs of our planet’ – so called because they produce most of the planet’s oxygen. It was originally proposed in 1992 by Canada’s International Centre for Ocean Development, and is an excellent chance to focus on progressive environmental issues.",#WorldOceansDay
23,2021/06/13,cartwheel,🤸‍♀️,International Children's Day,"Children's Day is a commemorative date celebrated annually in honor of children, whose date of observance varies by country. In 1925, International Children's Day was first proclaimed in Geneva during the World Conference on Child Welfare.",#ChildrensDay
24,2021/06/14,flag-usa,🇺🇸,National Flag Day,"This celebration dates back to 1777, when the US approved the design for its first national flag. Although it’s not a federal holiday, Pennsylvania celebrates it as a state holiday.",#FlagDay
24,2021/06/14,blood,🩸,World Blood Donor Day,"This day helps to raise awareness for the two most important sides of the blood donor process: the need for safe blood, and a thank you to blood donors for their life-saving gifts.",#GiveBlood
24,2021/06/20,father,👨‍👧‍👦,Fathers Day,"This day to celebrate the contribution of fathers across the world was first started in the US in the early 20th century. This complement to Mother’s Day became official in 1972, and has been celebrated every year since.",#FathersDay
24,2021/06/20,sun,☀️,First Day of Summer,"In 2021, the June solstice occurs on Sunday, June 20, marking the start of summer in the Northern Hemisphere. The exact date and time of the solstice is Sunday, June 20, at 11:32 P.M. EDT.",
24,2021/06/20,compass,🧭,World Refugee Day,"This international day was designated by the United Nations to raise awareness about refugees from around the world. It celebrates not only the support they may require, but also the strength and rand courage by the communities affected by global issues. ",#WithRefugees
25,2021/06/21,yoga,🧘‍♀️,International Yoga Day,Limber up and celebrate International Yoga Day! The United Nations General Assembly chose June 21 for the occasion since it has one of the longest days of sun compared to other days of the year.,#InternationalYogaDay
25,2021/06/21,camera,📸,National Selfie Day,"Time to get creative! Thanks to the global popularity of selfies, National Selfie Day was created to celebrate the medium and for people to take and share their favorite snaps. ",#NationalSelfieDay
25,2021/06/21,music,🎵,World Music Day,"This day encourages both amateur and professional musicians alike to showcase their work. Also called Fête de la Musique, the yearly celebration started in 1982 and was created by the French Minister of Culture Jack Lang.",#WorldMusicDay
25,2021/06/24,handshake,🤝,National Handshake Day,Please…no wet fish! National Handshake Day is in honor of the classic greeting and the many different styles it takes. It has been acknowledged since 2005 when it was created by Miryam Roddy on behalf of BRODY Professional Development.,#HandshakeDay
25,2021/06/25,dog,🐶,Take Your Dog to Work Day,This day honors our friends and encourages us to take our dogs in to work where possible. The day to celebrate our companions began in 1999 and is a great way to support and build new bridges with fellow workers.,#TakeYourDogToWorkDay
